14
0 72 21 55 84 81 93 16 71 87 98 84 75 65 
72 0 80 37 75 69 30 85 82 80 66 42 30 73 
21 80 0 24 28 100 35 30 25 73 36 75 58 31 
55 37 24 0 11 33 99 15 99 27 19 46 36 82 
84 75 28 11 0 14 30 31 66 44 31 35 1 3 
81 69 100 33 14 0 53 15 42 13 44 90 81 91 
93 30 35 99 30 53 0 16 14 16 6 41 19 23 
16 85 30 15 31 15 16 0 22 6 84 9 97 44 
71 82 25 99 66 42 14 22 0 37 66 46 63 80 
87 80 73 27 44 13 16 6 37 0 71 71 72 39 
98 66 36 19 31 44 6 84 66 71 0 9 7 21 
84 42 75 46 35 90 41 9 46 71 9 0 48 20 
75 30 58 36 1 81 19 97 63 72 7 48 0 47 
65 73 31 82 3 91 23 44 80 39 21 20 47 0 
