20
0 78 5 97 64 24 83 25 37 38 66 62 79 77 81 20 23 64 28 39 
78 0 81 14 73 57 36 99 58 10 65 80 8 32 90 66 62 22 100 2 
5 81 0 85 91 90 22 92 18 69 70 33 8 17 33 88 90 46 66 48 
97 14 85 0 92 40 54 60 81 94 69 69 30 33 61 84 4 52 88 4 
64 73 91 92 0 72 62 80 39 50 96 18 76 46 100 88 78 82 69 32 
24 57 90 40 72 0 39 96 76 93 43 85 61 45 52 83 95 12 41 66 
83 36 22 54 62 39 0 87 15 75 17 98 18 57 79 50 58 10 77 70 
25 99 92 60 80 96 87 0 90 19 45 57 4 15 57 1 94 13 84 62 
37 58 18 81 39 76 15 90 0 21 6 26 97 11 53 57 39 80 1 79 
38 10 69 94 50 93 75 19 21 0 30 5 47 75 83 77 54 42 44 36 
66 65 70 69 96 43 17 45 6 30 0 71 82 10 42 56 18 76 24 57 
62 80 33 69 18 85 98 57 26 5 71 0 3 2 90 26 37 18 55 99 
79 8 8 30 76 61 18 4 97 47 82 3 0 21 74 5 11 22 40 94 
77 32 17 33 46 45 57 15 11 75 10 2 21 0 77 90 31 24 95 98 
81 90 33 61 100 52 79 57 53 83 42 90 74 77 0 53 61 28 15 42 
20 66 88 84 88 83 50 1 57 77 56 26 5 90 53 0 48 90 38 13 
23 62 90 4 78 95 58 94 39 54 18 37 11 31 61 48 0 1 35 29 
64 22 46 52 82 12 10 13 80 42 76 18 22 24 28 90 1 0 49 91 
28 100 66 88 69 41 77 84 1 44 24 55 40 95 15 38 35 49 0 75 
39 2 48 4 32 66 70 62 79 36 57 99 94 98 42 13 29 91 75 0 
