30
0 45 84 1 83 57 38 96 56 80 82 29 32 3 53 5 41 14 52 80 70 16 3 33 39 86 22 8 31 99 
45 0 88 16 27 92 66 69 53 27 27 3 58 17 96 90 6 36 33 45 24 35 34 37 35 97 11 74 87 62 
84 88 0 92 15 84 98 44 58 44 65 92 37 81 8 45 89 39 54 83 60 45 88 30 21 93 56 47 23 25 
1 16 92 0 78 43 35 83 96 18 21 55 31 63 94 82 6 38 69 18 8 60 96 67 77 35 92 72 44 10 
83 27 15 78 0 66 20 37 2 4 61 78 10 14 38 98 54 99 99 62 49 45 76 66 94 95 84 43 69 42 
57 92 84 43 66 0 67 74 65 59 74 46 11 85 100 86 24 51 32 61 1 4 46 29 10 89 33 93 52 71 
38 66 98 35 20 67 0 76 68 25 17 73 21 9 41 97 37 62 75 37 81 74 20 9 15 44 35 84 93 33 
96 69 44 83 37 74 76 0 20 42 58 37 87 59 61 99 46 33 32 45 100 27 91 82 5 47 10 28 57 60 
56 53 58 96 2 65 68 20 0 98 14 47 7 8 9 79 90 50 42 4 31 31 90 74 13 74 75 100 55 100 
80 27 44 18 4 59 25 42 98 0 55 33 10 77 55 40 11 8 17 61 23 15 52 62 29 75 97 100 94 21 
82 27 65 21 61 74 17 58 14 55 0 99 5 35 7 82 5 47 50 85 61 64 30 54 65 96 59 8 15 49 
29 3 92 55 78 46 73 37 47 33 99 0 51 56 10 63 82 38 93 25 55 73 73 49 22 13 76 45 57 61 
32 58 37 31 10 11 21 87 7 10 5 51 0 22 7 43 59 9 41 63 80 92 23 59 49 31 54 39 31 22 
3 17 81 63 14 85 9 59 8 77 35 56 22 0 35 65 63 86 33 97 43 7 10 20 35 9 27 18 79 36 
53 96 8 94 38 100 41 61 9 55 7 10 7 35 0 9 21 87 29 55 91 62 68 96 57 45 90 97 37 18 
5 90 45 82 98 86 97 99 79 40 82 63 43 65 9 0 80 83 80 90 53 21 54 100 17 17 12 3 67 4 
41 6 89 6 54 24 37 46 90 11 5 82 59 63 21 80 0 70 99 97 22 67 25 14 68 60 91 48 70 60 
14 36 39 38 99 51 62 33 50 8 47 38 9 86 87 83 70 0 43 74 48 18 50 27 71 11 95 93 26 62 
52 33 54 69 99 32 75 32 42 17 50 93 41 33 29 80 99 43 0 97 75 56 46 97 38 46 27 38 55 61 
80 45 83 18 62 61 37 45 4 61 85 25 63 97 55 90 97 74 97 0 11 87 76 44 22 76 42 93 12 94 
70 24 60 8 49 1 81 100 31 23 61 55 80 43 91 53 22 48 75 11 0 22 71 3 99 51 93 94 23 8 
16 35 45 60 45 4 74 27 31 15 64 73 92 7 62 21 67 18 56 87 22 0 80 46 80 5 97 25 95 76 
3 34 88 96 76 46 20 91 90 52 30 73 23 10 68 54 25 50 46 76 71 80 0 19 4 25 56 90 95 12 
33 37 30 67 66 29 9 82 74 62 54 49 59 20 96 100 14 27 97 44 3 46 19 0 27 5 9 77 100 23 
39 35 21 77 94 10 15 5 13 29 65 22 49 35 57 17 68 71 38 22 99 80 4 27 0 10 59 2 57 58 
86 97 93 35 95 89 44 47 74 75 96 13 31 9 45 17 60 11 46 76 51 5 25 5 10 0 43 91 83 16 
22 11 56 92 84 33 35 10 75 97 59 76 54 27 90 12 91 95 27 42 93 97 56 9 59 43 0 99 72 72 
8 74 47 72 43 93 84 28 100 100 8 45 39 18 97 3 48 93 38 93 94 25 90 77 2 91 99 0 55 90 
31 87 23 44 69 52 93 57 55 94 15 57 31 79 37 67 70 26 55 12 23 95 95 100 57 83 72 55 0 1 
99 62 25 10 42 71 33 60 100 21 49 61 22 36 18 4 60 62 61 94 8 76 12 23 58 16 72 90 1 0 
