18
0 39 82 17 53 90 97 93 82 1 33 75 48 51 49 10 93 77 
39 0 36 30 91 2 26 28 78 20 26 58 71 30 57 8 57 68 
82 36 0 17 69 43 83 56 88 45 24 53 19 22 4 78 75 91 
17 30 17 0 13 15 54 77 96 45 21 73 88 22 84 90 90 62 
53 91 69 13 0 81 56 57 9 59 30 90 69 24 25 99 99 78 
90 2 43 15 81 0 20 39 31 75 64 26 55 4 79 85 23 29 
97 26 83 54 56 20 0 33 39 23 87 46 80 93 90 89 59 39 
93 28 56 77 57 39 33 0 44 87 83 38 47 82 69 19 28 35 
82 78 88 96 9 31 39 44 0 48 78 55 40 40 92 70 43 7 
1 20 45 45 59 75 23 87 48 0 68 77 56 19 18 43 37 44 
33 26 24 21 30 64 87 83 78 68 0 33 33 20 74 83 53 66 
75 58 53 73 90 26 46 38 55 77 33 0 51 71 62 95 57 64 
48 71 19 88 69 55 80 47 40 56 33 51 0 27 28 39 75 31 
51 30 22 22 24 4 93 82 40 19 20 71 27 0 5 69 97 51 
49 57 4 84 25 79 90 69 92 18 74 62 28 5 0 100 75 58 
10 8 78 90 99 85 89 19 70 43 83 95 39 69 100 0 3 64 
93 57 75 90 99 23 59 28 43 37 53 57 75 97 75 3 0 2 
77 68 91 62 78 29 39 35 7 44 66 64 31 51 58 64 2 0 
