64
0 4 60 1 80 5 44 44 41 4 91 16 82 88 19 38 40 25 49 15 54 100 38 56 76 2 88 44 24 91 66 96 94 21 59 9 16 70 23 13 40 28 15 85 43 91 45 40 67 94 32 72 95 100 27 54 41 49 27 57 42 52 52 85 
4 0 47 83 31 87 13 73 52 71 31 15 6 1 51 54 5 45 12 83 66 69 61 46 53 66 16 70 87 30 28 59 99 43 41 20 75 33 61 55 29 44 90 87 15 22 30 65 27 70 62 83 50 83 7 27 58 84 89 63 71 66 28 66 
60 47 0 20 63 1 22 16 14 32 21 25 24 66 84 86 41 39 7 43 20 17 79 54 20 60 75 49 88 9 63 62 75 28 30 100 48 35 11 59 67 57 17 52 47 60 28 10 6 95 95 36 8 95 69 38 48 15 63 8 43 44 68 50 
1 83 20 0 48 83 84 34 47 29 4 5 13 18 53 41 56 43 24 98 73 67 20 17 19 76 73 10 44 36 4 22 24 38 57 61 67 44 85 37 27 64 89 55 34 82 80 35 39 90 83 11 78 54 78 7 61 2 57 57 78 60 46 93 
80 31 63 48 0 63 32 85 84 57 37 58 16 61 32 72 70 79 66 57 4 26 32 6 58 54 13 43 30 68 58 82 86 14 87 67 60 6 15 58 39 24 77 72 56 96 98 29 28 17 23 71 62 93 74 100 28 25 34 45 88 75 39 31 
5 87 1 83 63 0 39 14 19 29 27 81 6 25 57 24 12 72 13 51 36 75 10 44 92 27 64 99 11 23 10 77 30 32 29 37 44 47 41 47 34 7 93 18 45 18 42 91 43 54 64 35 6 63 74 1 7 21 74 29 28 95 50 9 
44 13 22 84 32 39 0 74 79 31 31 59 49 23 26 4 63 68 46 44 98 27 77 35 19 7 82 85 51 21 14 19 51 48 26 31 8 3 60 93 47 64 25 28 54 12 35 66 86 16 32 33 13 41 33 38 30 49 71 88 31 66 17 61 
44 73 16 34 85 14 74 0 26 46 63 76 95 73 49 96 28 89 38 17 67 58 66 79 90 34 3 47 17 74 91 63 61 28 76 44 6 77 82 54 50 97 62 31 45 61 14 67 13 63 30 49 37 19 28 11 32 63 54 99 35 15 29 30 
41 52 14 47 84 19 79 26 0 19 3 35 97 54 51 34 21 26 3 73 59 50 45 11 42 53 78 22 24 17 67 7 63 81 8 77 52 70 52 83 19 19 55 55 92 76 22 75 66 10 58 89 62 87 91 99 14 15 22 60 27 86 47 75 
4 71 32 29 57 29 31 46 19 0 19 85 77 63 78 94 69 24 100 69 4 32 21 89 90 73 41 56 75 40 21 20 68 44 27 85 6 63 71 70 63 71 11 53 31 39 70 11 74 91 7 46 59 38 89 41 56 68 20 93 12 22 77 94 
