50
0 10 9 15 42 61 99 39 71 8 18 76 32 25 28 83 43 86 24 21 94 84 91 42 61 70 81 9 18 7 7 60 19 32 79 81 38 9 77 89 86 35 89 53 56 53 56 39 95 44 
10 0 79 61 9 74 98 93 92 56 40 40 96 65 36 95 69 54 1 5 11 42 94 45 19 24 49 97 6 45 24 34 8 78 47 22 87 25 22 52 62 12 74 83 8 62 100 47 63 75 
9 79 0 14 51 89 31 79 74 98 40 85 12 81 77 58 48 56 29 33 53 13 16 69 14 92 48 18 71 1 30 10 10 98 3 75 67 34 42 35 68 28 74 93 36 2 72 8 84 78 
15 61 14 0 2 59 77 96 19 61 24 54 49 61 72 34 37 67 14 5 73 95 92 67 85 9 27 91 70 4 90 100 99 49 77 77 95 88 90 8 89 80 38 73 50 100 5 55 96 72 
42 9 51 2 0 3 39 40 60 81 81 55 52 63 57 19 12 89 60 80 89 71 71 76 39 29 81 68 9 39 98 41 13 9 29 1 96 2 31 59 53 29 24 22 29 70 61 47 25 35 
61 74 89 59 3 0 34 69 31 51 68 32 58 77 15 67 40 26 7 30 31 57 45 72 18 79 93 18 33 73 28 92 43 76 66 93 2 64 37 90 84 64 17 60 70 66 14 13 73 3 
99 98 31 77 39 34 0 86 53 43 74 76 64 90 46 74 89 56 7 64 30 33 77 85 64 69 58 19 60 24 14 46 2 12 93 26 69 59 35 19 85 25 89 27 14 4 100 88 44 59 
39 93 79 96 40 69 86 0 88 90 20 80 52 13 90 37 29 92 15 7 40 37 14 1 60 88 10 84 81 68 82 67 56 69 4 79 12 50 42 85 23 76 10 12 10 48 83 77 63 69 
71 92 74 19 60 31 53 88 0 47 96 11 39 74 68 64 92 9 75 47 61 96 36 50 10 48 12 58 65 26 23 87 29 63 99 75 73 20 93 44 63 65 1 16 57 49 22 95 22 90 
8 56 98 61 81 51 43 90 47 0 65 70 6 66 79 95 16 71 73 63 45 45 41 20 63 42 4 18 87 67 43 77 62 90 32 71 48 54 59 92 18 94 100 36 81 82 55 6 72 62 
18 40 40 24 81 68 74 20 96 65 0 3 92 40 38 34 52 60 47 44 13 83 93 17 58 41 59 25 66 38 22 81 96 61 6 75 47 65 31 89 72 18 98 19 21 86 17 1 95 91 
76 40 85 54 55 32 76 80 11 70 3 0 84 83 7 25 91 72 28 44 22 71 2 31 31 50 2 55 6 15 24 98 99 54 15 54 88 39 19 80 21 95 13 93 47 83 73 70 12 85 
32 96 12 49 52 58 64 52 39 6 92 84 0 51 88 7 93 80 94 100 48 66 83 44 67 72 14 17 91 93 8 20 22 31 98 39 46 51 5 63 23 94 54 16 57 13 12 14 29 54 
25 65 81 61 63 77 90 13 74 66 40 83 51 0 63 13 11 6 49 38 3 66 68 48 56 6 30 22 95 74 12 34 46 53 87 48 66 40 77 48 19 26 33 13 19 11 98 6 81 100 
28 36 77 72 57 15 46 90 68 79 38 7 88 63 0 85 50 72 68 31 89 44 18 25 54 26 14 67 23 58 97 7 98 66 82 5 34 93 90 5 25 43 100 93 39 87 32 80 95 45 
83 95 58 34 19 67 74 37 64 95 34 25 7 13 85 0 93 51 55 2 78 100 7 72 16 56 87 74 61 24 7 49 98 21 72 33 16 35 46 6 89 17 59 70 58 12 59 24 70 61 
43 69 48 37 12 40 89 29 92 16 52 91 93 11 50 93 0 51 76 97 70 27 71 33 17 52 86 30 11 52 36 71 80 88 66 86 73 8 2 78 83 93 99 73 47 96 63 2 29 94 
