16
0 63 90 6 78 81 60 39 8 81 22 56 23 51 91 48 
63 0 31 25 46 44 34 5 12 100 26 47 77 44 99 28 
90 31 0 76 84 65 91 58 40 16 30 55 92 73 23 3 
6 25 76 0 92 7 65 90 29 47 56 41 18 58 67 3 
78 46 84 92 0 31 100 15 78 5 34 16 38 48 49 23 
81 44 65 7 31 0 33 62 4 4 63 91 28 53 34 8 
60 34 91 65 100 33 0 76 89 80 57 17 84 68 23 86 
39 5 58 90 15 62 76 0 77 56 100 5 48 49 84 85 
8 12 40 29 78 4 89 77 0 63 58 80 10 6 40 44 
81 100 16 47 5 4 80 56 63 0 26 5 33 86 38 42 
22 26 30 56 34 63 57 100 58 26 0 11 62 87 31 7 
56 47 55 41 16 91 17 5 80 5 11 0 50 64 97 41 
23 77 92 18 38 28 84 48 10 33 62 50 0 9 50 38 
51 44 73 58 48 53 68 49 6 86 87 64 9 0 71 1 
91 99 23 67 49 34 23 84 40 38 31 97 50 71 0 80 
48 28 3 3 23 8 86 85 44 42 7 41 38 1 80 0 
