18
0 93 53 97 9 80 12 18 32 76 3 37 85 58 61 22 44 67 
93 0 23 38 7 36 62 65 9 19 2 76 15 100 27 87 16 63 
53 23 0 85 83 82 21 35 32 29 4 53 65 51 24 19 4 9 
97 38 85 0 2 6 74 87 32 35 64 81 53 19 53 3 20 87 
9 7 83 2 0 73 55 82 53 16 47 58 44 95 28 78 47 7 
80 36 82 6 73 0 47 100 18 97 34 94 13 71 15 67 99 96 
12 62 21 74 55 47 0 30 42 49 8 32 73 70 90 68 77 39 
18 65 35 87 82 100 30 0 28 18 58 63 68 11 53 76 40 76 
32 9 32 32 53 18 42 28 0 94 70 62 71 68 50 42 51 76 
76 19 29 35 16 97 49 18 94 0 80 35 34 58 72 68 95 22 
3 2 4 64 47 34 8 58 70 80 0 11 8 56 75 16 93 78 
37 76 53 81 58 94 32 63 62 35 11 0 98 17 67 55 66 41 
85 15 65 53 44 13 73 68 71 34 8 98 0 79 42 91 27 31 
58 100 51 19 95 71 70 11 68 58 56 17 79 0 24 93 9 53 
61 27 24 53 28 15 90 53 50 72 75 67 42 24 0 27 60 94 
22 87 19 3 78 67 68 76 42 68 16 55 91 93 27 0 4 79 
44 16 4 20 47 99 77 40 51 95 93 66 27 9 60 4 0 92 
67 63 9 87 7 96 39 76 76 22 78 41 31 53 94 79 92 0 
